"Wavelength","HOURS","sample_name","sample","blank","intensity_bl_corrected"
600,4.65694444444444,"SD-1  DMR+ Ferric citrate",1.178,0.689,0.489
600,4.65694444444444,"SD-1  medium bicarb + Ferric Citrate",0.968,0.246,0.722
600,4.65694444444444,"SD-1  medium PIPES + Ferric Citrate",0.374,0.36,0.014
600,4.65694444444444,"SD-1  medium PIPES + Ferric Citrate + lactate",0.346,0.353,-0.00700000000000001
600,4.65694444444444,"SD-1 Defined media + Acetate",0.194,0.194,0
600,4.65694444444444,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.787,0.27,0.517
600,4.99055555555556,"PCA + DMR",0.398,0.414,-0.016
600,4.99055555555556,"PCA + DMR + Fumarate",0.347,0.37,-0.023
600,4.99055555555556,"PCA + medium + Fumarate",0.1,0.089,0.011
600,4.99055555555556,"SD-1  DMR",0.777,0.408,0.369
600,4.99055555555556,"SD-1  DMR+ Ferric citrate",1.171,0.686,0.485
600,4.99055555555556,"SD-1  medium bicarb + Ferric Citrate",0.971,0.248,0.723
600,4.99055555555556,"SD-1  medium PIPES + Ferric Citrate",0.374,0.362,0.012
600,4.99055555555556,"SD-1  medium PIPES + Ferric Citrate + lactate",0.345,0.354,-0.00900000000000001
600,4.99055555555556,"SD-1 Defined media + Acetate",0.194,0.194,0
600,4.99055555555556,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.791,0.27,0.521
600,5.32416666666667,"PCA + DMR",0.397,0.414,-0.017
600,5.32416666666667,"PCA + DMR + Fumarate",0.347,0.371,-0.024
600,5.32416666666667,"PCA + medium + Fumarate",0.1,0.092,0.00800000000000001
600,5.32416666666667,"SD-1  DMR",0.78,0.409,0.371
600,5.32416666666667,"SD-1  DMR+ Ferric citrate",1.167,0.684,0.483
600,5.32416666666667,"SD-1  medium bicarb + Ferric Citrate",0.973,0.25,0.723
600,5.32416666666667,"SD-1  medium PIPES + Ferric Citrate",0.375,0.362,0.013
600,5.32416666666667,"SD-1  medium PIPES + Ferric Citrate + lactate",0.344,0.354,-0.01
600,5.32416666666667,"SD-1 Defined media + Acetate",0.192,0.193,-0.001
600,5.32416666666667,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.792,0.269,0.523
600,5.65777777777778,"PCA + DMR",0.397,0.414,-0.017
600,5.65777777777778,"PCA + DMR + Fumarate",0.347,0.37,-0.023
600,5.65777777777778,"PCA + medium + Fumarate",0.1,0.092,0.00800000000000001
600,5.65777777777778,"SD-1  DMR",0.78,0.408,0.372
600,5.65777777777778,"SD-1  DMR+ Ferric citrate",1.157,0.682,0.475
600,5.65777777777778,"SD-1  medium bicarb + Ferric Citrate",0.975,0.25,0.725
600,5.65777777777778,"SD-1  medium PIPES + Ferric Citrate",0.375,0.362,0.013
600,5.65777777777778,"SD-1  medium PIPES + Ferric Citrate + lactate",0.344,0.354,-0.01
600,5.65777777777778,"SD-1 Defined media + Acetate",0.197,0.193,0.004
600,5.65777777777778,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.797,0.268,0.529
600,5.99138888888889,"PCA + DMR",0.396,0.414,-0.018
600,5.99138888888889,"PCA + DMR + Fumarate",0.347,0.37,-0.023
600,5.99138888888889,"PCA + medium + Fumarate",0.1,0.089,0.011
600,5.99138888888889,"SD-1  DMR",0.782,0.408,0.374
600,5.99138888888889,"SD-1  DMR+ Ferric citrate",1.148,0.68,0.468
600,5.99138888888889,"SD-1  medium bicarb + Ferric Citrate",0.977,0.251,0.726
